ticker,date,open,high,low,close,volume
AAPL,2023-09-01 09:30:00,189.3702652454376,189.9259354273478,188.21369687716165,189.4837557474772,45687811
AAPL,2023-09-01 09:31:00,189.3700551748276,189.92594584359065,188.21358055803512,189.48379741244847,45687732
AAPL,2023-09-01 09:32:00,189.36984510421752,189.92595625983344,188.21346423890856,189.4838390774197,45687654
AAPL,2023-09-01 09:33:00,189.3696350336075,189.92596667607623,188.213347919782,189.4838807423909,45687575
AAPL,2023-09-01 09:34:00,189.36942496299744,189.92597709231907,188.21323160065543,189.4839224073622,45687497
AAPL,2023-09-01 09:35:00,189.3692148923874,189.9259875085619,188.2131152815289,189.48396407233344,45687418
AAPL,2023-09-01 09:36:00,189.3690048217773,189.92599792480468,188.21299896240237,189.4840057373047,45687340
AAPL,2023-09-01 09:37:00,189.3687947511673,189.9260083410475,188.2128826432758,189.48404740227596,45687261
AAPL,2023-09-01 09:38:00,189.3685846805573,189.9260187572903,188.21276632414924,189.4840890672472,45687182
AAPL,2023-09-01 09:39:00,189.3683746099472,189.92602917353312,188.21265000502268,189.48413073221843,45687104
AAPL,2023-09-01 09:40:00,189.3681645393372,189.92603958977597,188.2125336858961,189.48417239718967,45687025
AAPL,2023-09-01 09:41:00,189.3679544687271,189.9260500060188,188.2124173667696,189.4842140621609,45686947
AAPL,2023-09-01 09:42:00,189.36774439811705,189.92606042226157,188.21230104764305,189.48425572713217,45686868
AAPL,2023-09-01 09:43:00,189.36753432750703,189.9260708385044,188.2121847285165,189.4842973921034,45686789
AAPL,2023-09-01 09:44:00,189.36732425689695,189.9260812547472,188.21206840938996,189.48433905707464,45686711
AAPL,2023-09-01 09:45:00,189.36711418628693,189.92609167099,188.21195209026337,189.4843807220459,45686632
AAPL,2023-09-01 09:46:00,189.36690411567687,189.9261020872328,188.2118357711368,189.48442238701716,45686554
AAPL,2023-09-01 09:47:00,189.3666940450668,189.9261125034756,188.21171945201027,189.4844640519884,45686475
AAPL,2023-09-01 09:48:00,189.3664839744568,189.92612291971844,188.2116031328837,189.48450571695963,45686397
AAPL,2023-09-01 09:49:00,189.36627390384675,189.92613333596125,188.21148681375715,189.4845473819309,45686318
AAPL,2023-09-01 09:50:00,189.3660638332367,189.92614375220404,188.2113704946306,189.48458904690213,45686239
AAPL,2023-09-01 09:51:00,189.36585376262664,189.92615416844689,188.21125417550405,189.48463071187336,45686161
AAPL,2023-09-01 09:52:00,189.3656436920166,189.92616458468967,188.2111378563775,189.48467237684463,45686082
AAPL,2023-09-01 09:53:00,189.36543362140657,189.9261750009325,188.21102153725093,189.48471404181583,45686004
AAPL,2023-09-01 09:54:00,189.3652235507965,189.9261854171753,188.2109052181244,189.4847557067871,45685925
AAPL,2023-09-01 09:55:00,189.3650134801865,189.9261958334181,188.21078889899783,189.4847973717584,45685847
AAPL,2023-09-01 09:56:00,189.3648034095764,189.9262062496609,188.21067257987127,189.4848390367296,45685768
AAPL,2023-09-01 09:57:00,189.3645933389664,189.92621666590367,188.21055626074477,189.4848807017009,45685689
